week_start,week_end,FL_cases,VA_cases,TX_cases,AZ_cases,UT_cases,SC_cases
2025-01-05,2025-01-11,0,0,0,0,0,0
2025-01-12,2025-01-18,0,0,0,0,0,0
2025-01-19,2025-01-25,0,0,11,0,0,0
2025-01-26,2025-02-01,0,0,20,0,0,0
2025-02-02,2025-02-08,0,0,27,0,0,0
2025-02-09,2025-02-15,0,0,50,0,0,0
2025-02-16,2025-02-22,0,0,68,0,0,0
2025-02-23,2025-03-01,0,0,61,0,0,0
2025-03-02,2025-03-08,1,0,68,0,0,0
2025-03-09,2025-03-15,0,0,65,0,0,0
2025-03-16,2025-03-22,0,0,84,0,0,0
2025-03-23,2025-03-29,0,0,67,0,0,0
2025-03-30,2025-04-05,0,0,67,0,0,0
2025-04-06,2025-04-12,0,0,55,0,0,0
2025-04-13,2025-04-19,0,1,44,0,0,0
2025-04-20,2025-04-26,1,0,23,0,0,0
2025-04-27,2025-05-03,0,0,23,0,0,0
2025-05-04,2025-05-10,0,0,11,0,0,0
2025-05-11,2025-05-17,0,0,8,0,0,0
2025-05-18,2025-05-24,0,1,16,0,0,0
2025-05-25,2025-05-31,0,0,11,0,0,0
2025-06-01,2025-06-07,1,1,5,0,0,0
2025-06-08,2025-06-14,0,0,2,4,1,0
2025-06-15,2025-06-21,0,0,3,0,2,0
2025-06-22,2025-06-28,1,0,6,0,6,0
2025-06-29,2025-07-05,0,0,2,0,1,0
2025-07-06,2025-07-12,0,0,0,0,0,0
2025-07-13,2025-07-19,0,0,1,0,1,0
2025-07-20,2025-07-26,0,0,0,0,0,0
2025-07-27,2025-08-02,0,0,0,0,0,0
2025-08-03,2025-08-09,0,0,3,0,0,0
2025-08-10,2025-08-16,2,0,0,1,1,0
2025-08-17,2025-08-23,0,0,0,19,1,0
2025-08-24,2025-08-30,0,0,0,0,4,0
2025-08-31,2025-09-06,0,1,1,6,8,1
2025-09-07,2025-09-13,0,0,0,11,7,0
2025-09-14,2025-09-20,0,0,0,14,14,1
2025-09-21,2025-09-27,0,0,0,2,6,4
2025-09-28,2025-10-04,0,0,0,8,5,2
2025-10-05,2025-10-11,0,0,0,4,2,7
2025-10-12,2025-10-18,0,0,0,12,5,6
2025-10-19,2025-10-25,0,0,0,8,4,12
2025-10-26,2025-11-01,0,0,1,17,7,1
2025-11-02,2025-11-08,0,0,0,3,9,10
2025-11-09,2025-11-15,1,0,0,28,7,8
2025-11-16,2025-11-22,0,0,0,9,12,13
2025-11-23,2025-11-29,0,0,0,12,8,22
2025-11-30,2025-12-06,0,0,0,1,6,42
2025-12-07,2025-12-13,0,0,0,20,16,18
2025-12-14,2025-12-20,0,0,0,12,20,12
2025-12-21,2025-12-27,0,1,0,2,14,174
2025-12-28,2026-01-03,0,0,0,10,30,63
2026-01-04,2026-01-10,3,2,0,4,20,165
2026-01-11,2026-01-17,0,0,0,14,11,142
2026-01-18,2026-01-24,4,4,0,10,17,147
2026-01-25,2026-01-31,8,0,0,5,21,73
2026-02-01,2026-02-07,53,0,0,8,28,13
2026-02-08,2026-02-14,24,1,0,19,35,0
2026-02-15,2026-02-21,21,3,0,6,20,0
2026-02-22,2026-02-28,11,0,27,6,49,0
2026-03-01,2026-03-07,7,3,0,1,38,0
2026-03-08,2026-03-14,9,1,109,4,48,64
2026-03-15,2026-03-21,2,0,11,11,57,0
2026-03-22,2026-03-28,2,3,23,1,55,0
2026-03-29,2026-04-04,0,0,5,7,19,0
2026-04-05,2026-04-11,1,0,1,7,13,1
2026-04-12,2026-04-18,0,0,4,2,11,0
2026-04-19,2026-04-25,4,2,0,3,10,0
2026-04-26,2026-05-02,1,2,1,4,18,0
2026-05-03,2026-05-09,0,2,0,1,3,0
2026-05-10,2026-05-16,2,12,0,1,6,0
2026-05-17,2026-05-23,1,5,1,0,3,0
2026-05-24,2026-05-30,0,24,0,0,3,1
2026-05-31,2026-06-06,1,27,0,0,10,1
2026-06-07,2026-06-13,0,20,0,0,5,0
2026-06-14,2026-06-20,0,18,0,0,3,0
2026-06-21,2026-06-27,0,0,0,0,3,0
2026-06-28,2026-07-04,0,16,0,2,3,0
2026-07-05,2026-07-11,0,32,0,3,1,0
2026-07-12,2026-07-18,0,0,0,0,0,0
